REGULATOR	REGULATED	EFFECT
ArcA	STM2786	repressor
ArcA	STM2787	repressor
ArcA	STM2788	repressor
ArcA	STM2789	repressor
ArcA	STM3784	activator
ArcA	STM3784	regulator
ArcA	STM3784	repressor
ArcA	ahpF	activator
ArcA	ahpF	regulator
ArcA	cheV	activator
ArcA	cheV	regulator
ArcA	crp	activator
ArcA	cydAB	regulator
ArcA	cydAB	repressor
ArcA	cyoABCDE	regulator
ArcA	fis	activator
ArcA	fis	regulator
ArcA	fis	repressor
ArcA	fliA	activator
ArcA	fliC	regulator
ArcA	gor	activator
ArcA	katE	regulator
ArcA	mcpAC	activator
ArcA	mcpAC	regulator
ArcA	mgtB	regulator
ArcA	mgtC	regulator
ArcA	mgtCB	repressor
ArcA	nrdEF	activator
ArcA	nrdEF	regulator
ArcA	ompD	regulator
ArcA	ompD	repressor
ArcA	ompW	regulator
ArcA	ompW	repressor
ArcA	pocR	activator
ArcA	rpoS	activator
ArcA	rpoS	repressor
ArcA	slsA	activator
ArcA	slsA	regulator
ArcA	slsA	repressor
ArcA	sodA	regulator
ArcA	sspH2	repressor
ArcA	tctE	repressor
ArcA	trxB	activator
ArcA	trxB	regulator
ArcA	yneB	activator
ArcA	yneB	regulator
BaeR	STM1530	regulator
BaeR	STM3031	regulator
BaeR	acrAB	activator
BaeR	acrD	activator
BaeR	acrD	regulator
BaeR	mdtA	activator
BaeR	mdtA	regulator
BaeR	mdtABC	activator
BaeR	mdtABC	regulator
BaeR	sodA	activator
BaeR	sodA	regulator
BaeR	sodB	regulator
BaeR	tolC	activator
BaeR	tolC	regulator
BaeR	tolC	repressor
CRP	aldB	activator
CRP	ansB	activator
CRP	ansB	regulator
CRP	araC	activator
CRP	araC	repressor
CRP	crp	activator
CRP	crp	regulator
CRP	crp	repressor
CRP	dctA	repressor
CRP	fis	activator
CRP	fis	regulator
CRP	fis	repressor
CRP	flhD	activator
CRP	flhDC	regulator
CRP	ilvB	activator
CRP	ilvB	regulator
CRP	ilvB	repressor
CRP	map	activator
CRP	ompA	regulator
CRP	ompR	repressor
CRP	osmY	repressor
CRP	pepE	regulator
CRP	pepT	activator
CRP	pepT	regulator
CRP	pepT	repressor
CRP	prpBCDE	activator
CRP	prpBCDE	regulator
CRP	prpBCDE	repressor
CRP	prpR	activator
CRP	prpR	regulator
CRP	prpR	repressor
CRP	putA	activator
CRP	putA	regulator
CRP	putA	repressor
CRP	putP	activator
CRP	putP	regulator
CRP	rpoS	activator
CRP	rpoS	regulator
CRP	rpoS	repressor
CRP	spvB	activator
CRP	spvB	repressor
CRP	spvR	repressor
CadC	ompF	activator
CadC	ompR	regulator
CadC	ompR	repressor
CpxR	STM1530	regulator
CpxR	STM3031	regulator
CpxR	acrD	regulator
CpxR	cpxP	activator
CpxR	csrB	activator
CpxR	csrB	regulator
CpxR	csrB	repressor
CpxR	dsbA	regulator
CpxR	mdtABC	regulator
CpxR	rpoE	repressor
CpxR	spy	activator
Crp	crp	repressor
Crp	ompD	activator
Crp	pduF	activator
Crp	pduF	regulator
Crp	pocR	activator
Crp	pocR	regulator
Crp	rpoS	regulator
Crp	tcuA	activator
Crp	tcuA	regulator
Crp	tcuA	repressor
Crp	tcuABC	activator
Crp	tcuABC	regulator
Crp	tcuABC	repressor
Crp	tcuR	regulator
Crp	tcuR	repressor
CsgD	STM2123	activator
CsgD	csgD	activator
CsgD	csgD	repressor
CsgD	fliA	activator
CsgD	fliA	regulator
CysB	cysB	activator
CysB	cysB	regulator
CysB	cysB	repressor
CysB	cysJIH	activator
CysB	cysJIH	regulator
CysB	cysJIH	repressor
CysB	cysK	activator
CysB	cysK	regulator
CysB	cysK	repressor
CysB	spvR	activator
DeoR	deoCABD	regulator
DeoR	deoCABD	repressor
DeoR	deoK	activator
DeoR	deoK	repressor
DeoR	deoQ	activator
DeoR	deoQ	regulator
DeoR	deoQ	repressor
DnaA	dnaA	activator
DnaA	dnaA	regulator
DnaA	nrdAB	regulator
EcnR	ecnR	regulator
EcnR	flhDC	activator
EcnR	flhDC	repressor
EcnR	map	activator
EutR	eutP	activator
EutR	eutP	regulator
EutR	eutP	repressor
EutR	eutR	activator
FNR	aceF	activator
FNR	ackA	activator
FNR	aer	activator
FNR	ansB	activator
FNR	ansB	regulator
FNR	asr	regulator
FNR	asr	repressor
FNR	cheV	regulator
FNR	crp	activator
FNR	dmsA	regulator
FNR	eutR	activator
FNR	fis	activator
FNR	fis	regulator
FNR	fliA	activator
FNR	fliZ	activator
FNR	ftnB	activator
FNR	fumB	regulator
FNR	hilA	repressor
FNR	hilC	repressor
FNR	hlyE	regulator
FNR	hmpA	activator
FNR	hrpA	activator
FNR	mcpAC	regulator
FNR	ndh	regulator
FNR	ndh	repressor
FNR	nrdAB	regulator
FNR	nrdDG	activator
FNR	nrdDG	regulator
FNR	ompW	regulator
FNR	pepT	activator
FNR	pepT	regulator
FNR	pepT	repressor
FNR	srfABC	regulator
FNR	srfABC	repressor
FNR	ycgR	activator
FNR	ynaF	activator
FadD	hilA	activator
FadD	hilA	regulator
FadD	hilA	repressor
FadD	hilC	activator
FadD	hilD	regulator
FadR	hilA	repressor
FimW	fimA	activator
FimW	fimA	regulator
FimW	fimA	repressor
FimW	fimW	activator
FimW	fimW	repressor
FimW	fimY	regulator
FimW	fimY	repressor
FimW	fimZ	activator
FimW	fimZ	regulator
FimW	fimZ	repressor
FimW	sulA	repressor
FimY	fimA	activator
FimY	fimA	regulator
FimY	fimA	repressor
FimY	fimW	activator
FimY	fimW	regulator
FimY	fimY	activator
FimY	fimY	regulator
FimY	fimY	repressor
FimY	fimZ	activator
FimY	fimZ	regulator
FimY	hilE	activator
FimZ	fimA	activator
FimZ	fimA	regulator
FimZ	fimA	repressor
FimZ	fimAICDHF	activator
FimZ	fimW	activator
FimZ	fimW	regulator
FimZ	fimY	activator
FimZ	fimY	regulator
FimZ	fimZ	activator
FimZ	fimZ	regulator
FimZ	fimZ	repressor
FimZ	flhDC	regulator
FimZ	flhDC	repressor
FimZ	fliZ	activator
FimZ	fliZ	repressor
FimZ	hilA	repressor
FimZ	hilE	activator
FimZ	hilE	regulator
FimZ	hilE	repressor
FimZ	sulA	repressor
Fis	STM2911	repressor
Fis	STM2912	repressor
Fis	aldB	repressor
Fis	dps	regulator
Fis	dps	repressor
Fis	fis	activator
Fis	fis	regulator
Fis	fis	repressor
Fis	flhDC	activator
Fis	flhDC	regulator
Fis	fljB	activator
Fis	fljB	regulator
Fis	fljB	repressor
Fis	gin	activator
Fis	gin	regulator
Fis	gyrB	regulator
Fis	hilA	activator
Fis	hilA	regulator
Fis	hilA	repressor
Fis	hilC	activator
Fis	hilC	regulator
Fis	hilD	activator
Fis	hilD	regulator
