REGULATOR	REGULATED	EFFECT
ArcA	STM1731	repressor
ArcA	STM2786	repressor
ArcA	STM2787	repressor
ArcA	STM2788	repressor
ArcA	STM2789	repressor
ArcA	STM3784	regulator
ArcA	ahpF	regulator
ArcA	cheV	activator
ArcA	cheV	regulator
ArcA	flgM	regulator
ArcA	flgN	regulator
ArcA	flhDC	repressor
ArcA	gor	activator
ArcA	katE	regulator
ArcA	katN	regulator
ArcA	mcpAC	activator
ArcA	mcpAC	regulator
ArcA	mgtB	regulator
ArcA	mgtC	regulator
ArcA	nrdEF	regulator
ArcA	ompD	regulator
ArcA	ompD	repressor
ArcA	ompW	regulator
ArcA	ompW	repressor
ArcA	pduF	activator
ArcA	pocR	activator
ArcA	pocR	regulator
ArcA	slsA	regulator
ArcA	tctE	repressor
ArcA	trxB	activator
ArcA	trxB	regulator
ArcA	yneB	regulator
BaeR	STM1530	regulator
BaeR	STM3031	regulator
BaeR	acrD	activator
BaeR	acrD	regulator
BaeR	mdtA	activator
BaeR	mdtABC	activator
BaeR	sodA	activator
BaeR	sodA	regulator
BaeR	sodB	regulator
BaeR	tolC	activator
CRP	aniC	activator
CRP	ansB	regulator
CRP	araC	regulator
CRP	crp	repressor
CRP	dctA	activator
CRP	dctA	regulator
CRP	flhD	activator
CRP	hyaB	activator
CRP	ilvB	activator
CRP	ilvB	regulator
CRP	ompA	regulator
CRP	ompD	activator
CRP	osmY	repressor
CRP	pduF	activator
CRP	pepE	regulator
CRP	pepT	activator
CRP	pepT	regulator
CRP	pepT	repressor
CRP	pocR	activator
CRP	pocR	regulator
CRP	prpBCDE	activator
CRP	prpBCDE	regulator
CRP	prpBCDE	repressor
CRP	prpR	activator
CRP	putA	regulator
CRP	putP	activator
CRP	rpoS	activator
CRP	rpoS	regulator
CRP	spvB	repressor
CRP	spvR	repressor
CRP	tcuA	repressor
CRP	tcuABC	repressor
CRP	tcuR	repressor
CadC	ompF	activator
CadC	ompF	regulator
CadC	ompR	regulator
CpxR	STM1530	regulator
CpxR	STM3031	regulator
CpxR	cpxP	activator
CpxR	cpxP	regulator
CpxR	rpoE	repressor
CpxR	spy	activator
CpxR	spy	regulator
Crp	pocR	activator
CsgD	STM2123	activator
CsgD	bapA	activator
CysB	cysB	regulator
CysB	cysB	repressor
CysB	cysJIH	activator
CysB	cysJIH	regulator
CysB	cysK	activator
CysB	cysK	regulator
CysB	cysK	repressor
DeoR	deoCABD	repressor
DeoR	deoK	activator
DeoR	deoQ	activator
DnaA	dnaA	regulator
EcnR	flhDC	repressor
EutR	eutP	activator
